5.4,1.68
2.58,5.8
3.66,5.69
2.69,0.59
7.87,2.04
8.89,0.41
5.45,0.3
2.36,1.05
8.56,7.78
0.61,4.93
7.04,8.73
8.17,2.75
8.55,1.49
5.18,7.2
4.7,1.31
0.78,2.11
4.58,3.18
9.72,9.42
5.58,3.17
4.61,8.36
6.88,1.08
7.23,4.9
4.45,7.05
6.96,9.16
0.76,6.3
7.82,6.44
5.84,2.02
3.64,4.99
0.59,1.24
1.25,9.39
1.64,7.1
1.86,8.96
5.13,6.01
5.32,7.21
6.65,3.0
7.11,8.53
7.64,7.99
5.55,9.83
4.02,3.71
2.91,9.87
9.56,6.82
6.84,4.05
0.61,5.51
2.08,7.07
5.53,0.15
1.41,2.03
8.29,4.63
6.14,3.67
4.72,6.12
6.99,4.15
6.11,3.47
8.65,3.89
3.15,9.26
4.37,6.32
2.76,0.15
5.65,5.63
8.39,0.1
3.39,3.0
5.22,3.83
3.79,4.66
7.51,3.76
9.16,2.96
2.03,1.78
9.6,4.28
5.04,5.03
0.43,3.17
8.64,0.02
2.54,1.75
8.04,3.97
5.57,9.67
0.92,1.71
9.61,2.53
1.57,1.62
1.8,6.24
4.01,6.17
8.3,1.18
6.52,2.11
7.17,6.38
0.8,6.94
1.78,2.92
6.06,3.41
2.01,9.27
0.8,5.9
6.49,9.11
7.67,1.12
3.09,9.29
7.05,1.99
7.67,1.63
2.71,3.64
8.69,9.11
9.27,8.64
7.44,6.18
0.15,6.49
1.58,2.78
6.49,3.94
0.5,1.36
8.95,6.69
0.72,8.08
5.77,8.44
5.22,0.26
9.43,3.29
9.33,4.27
6.49,7.94
5.98,1.69
7.66,9.89
5.36,3.68
0.53,1.19
2.28,7.69
0.78,2.98
9.88,2.28
9.07,9.68
0.01,2.26
7.61,3.51
0.69,7.64
7.0,7.9
6.41,6.72
7.04,9.31
6.59,4.42
0.22,7.25
8.78,0.63
5.52,3.46
2.4,0.07
7.18,4.3
9.81,3.79
1.99,4.09
8.2,7.58
5.49,9.96
8.75,5.08
0.44,5.2
4.27,3.19
5.85,4.41
1.78,3.22
0.76,3.5
1.03,8.3
6.87,1.71
6.86,5.8
6.35,2.78
2.35,3.96
7.68,4.62
4.81,4.2
0.56,2.09
0.33,2.93
1.78,3.91
7.59,4.15
7.53,1.53
5.02,7.05
4.31,0.78
6.59,4.34
7.17,9.56
0.19,8.54
5.24,0.61
6.43,3.27
1.13,4.5
8.3,7.5
5.31,4.06
4.94,4.5
8.59,8.0
2.95,6.3
6.36,6.93
4.61,3.29
7.26,4.19
9.5,3.06
4.57,5.25
9.63,9.76
8.56,2.63
1.01,2.96
6.82,1.79
0.3,8.27
9.86,8.0
7.93,1.32
3.0,8.34
8.09,1.99
8.43,2.2
9.17,4.78
8.51,8.51
0.18,3.34
5.47,7.53
7.96,5.93
0.86,8.78
1.4,0.29
5.56,7.28
5.83,1.87
5.42,5.42
6.68,9.5
4.19,8.86
3.26,6.16
3.26,1.59
9.93,8.63
1.81,3.29
6.52,3.32
1.52,9.78
6.65,7.68
9.08,8.34
1.0,1.75
8.5,2.8
4.91,7.2
8.98,0.24
0.77,6.28
2.82,7.5
0.56,3.21
