Column_A,Column_B
8.11,8.47
9.4,1.81
6.22,5.88
7.65,2.98
3.43,8.73
4.05,4.74
4.43,8.36
5.96,9.32
6.72,4.75
0.93,8.4
8.05,8.68
5.66,2.22
2.76,0.01
8.44,4.24
5.13,1.08
8.14,2.32
6.4,5.66
0.42,2.83
5.63,0.37
3.64,7.79
5.56,7.51
8.31,9.77
6.76,3.76
1.62,1.11
2.63,1.83
7.97,8.85
2.44,0.77
3.76,5.62
0.19,3.98
0.7,3.05
3.39,2.93
9.4,5.15
1.83,4.95
1.67,7.82
8.92,8.9
8.82,7.26
3.81,4.82
8.86,2.02
7.31,8.54
8.85,1.95
2.45,5.13
5.72,1.92
9.48,3.74
8.94,1.75
8.97,5.22
6.04,0.39
1.93,3.79
0.88,2.99
8.29,1.53
6.44,2.0
4.89,0.49
6.17,8.22
9.14,0.54
6.2,1.31
3.06,9.46
5.74,8.31
8.46,5.24
1.09,4.42
4.27,5.38
8.29,0.23
3.87,0.44
6.62,3.56
7.64,2.7
7.32,8.57
8.99,5.95
6.55,6.28
2.28,9.95
1.8,4.21
7.02,8.2
0.59,4.08
0.05,4.45
2.44,4.24
0.47,8.52
8.49,1.05
0.61,5.44
5.7,2.8
1.0,0.04
2.98,3.87
3.88,4.97
4.02,9.53
2.12,6.89
1.8,8.57
7.55,6.7
3.9,2.13
3.38,6.39
1.94,3.8
4.86,3.56
0.73,8.63
1.22,6.0
8.85,5.61
4.25,8.91
1.02,6.54
4.05,6.17
2.76,4.77
2.06,2.37
0.33,6.11
9.98,9.74
6.35,9.09
3.97,0.12
9.92,5.15
1.84,0.66
9.64,8.84
3.0,6.5
0.23,4.47
7.92,8.86
8.66,6.32
1.9,2.09
9.76,7.14
7.82,8.43
8.94,0.91
9.75,3.62
7.92,4.24
1.5,9.36
2.54,6.8
1.06,1.92
3.61,6.32
8.96,6.5
2.62,9.7
0.06,8.84
1.02,9.84
8.5,8.87
7.41,3.23
9.84,2.39
3.83,0.63
5.94,3.91
3.44,3.53
0.11,7.12
7.95,0.51
5.75,5.75
6.92,6.42
1.24,5.69
8.47,7.96
8.33,1.52
5.31,6.42
7.37,4.64
0.38,6.77
5.58,7.2
8.78,2.74
1.8,8.95
0.32,7.09
2.57,8.47
2.81,8.94
1.83,8.58
8.39,1.86
9.43,7.24
3.69,0.56
0.02,7.19
9.05,4.22
4.32,6.79
2.47,4.18
5.82,2.21
9.52,3.91
2.61,5.94
1.25,0.79
3.07,1.04
9.24,1.85
2.97,0.97
6.7,8.85
2.04,1.59
7.34,2.48
6.73,8.94
5.95,7.77
6.21,1.9
7.57,7.52
3.51,5.57
1.23,4.36
7.3,6.27
5.45,0.59
3.75,9.2
9.77,1.3
6.11,0.51
6.36,0.86
0.45,5.77
3.48,5.68
5.35,6.25
0.53,1.52
7.93,5.61
4.79,9.52
8.73,4.99
6.5,5.11
2.91,3.81
6.16,1.08
8.54,6.81
5.06,0.93
0.53,1.63
8.17,4.83
0.89,9.72
0.19,1.57
7.12,5.0
8.52,4.56
0.23,7.49
1.23,7.96
5.97,8.46
4.24,8.58
6.56,6.09
3.88,2.35
5.75,1.59
0.33,7.32
4.24,1.87
2.96,8.52
1.63,8.49
0.79,3.57
0.29,9.79
8.54,2.98
6.42,2.27
7.78,8.53
6.7,5.8
7.36,3.17
3.16,6.33
4.87,1.37
9.55,3.63
0.8,7.82
4.29,3.43
9.45,6.98
8.44,1.38
4.39,8.01
6.6,7.27
7.92,7.41
4.8,9.89
7.45,9.21
5.28,1.35
9.23,9.15
9.81,8.76
7.9,1.56
2.88,5.8
1.71,5.52
1.14,2.11
2.22,5.0
4.55,3.87
9.1,4.74
4.92,2.36
3.99,6.75
7.92,2.61
0.16,9.28
4.27,4.93
4.88,5.87
7.32,7.2
9.35,2.93
0.3,0.48
5.37,1.95
2.63,6.53
9.07,6.52
9.95,4.18
0.03,1.96
1.85,1.26
1.64,2.33
5.35,5.25
7.19,3.36
9.9,5.59
0.32,6.75
7.93,3.95
1.46,5.02
6.74,5.64
5.87,0.77
2.33,1.63
0.64,2.19
9.39,8.22
6.17,2.07
9.82,8.74
1.09,6.56
9.6,2.52
4.63,3.88
7.64,3.99
2.41,3.13
4.02,0.61
6.79,5.71
1.44,5.68
9.47,0.16
6.54,9.4
6.22,9.23
1.02,1.07
1.58,2.58
9.3,8.89
6.32,8.72
2.26,3.36
8.02,2.43
9.06,7.29
9.4,1.45
6.95,0.38
4.46,6.42
10.0,4.3
8.81,5.09
1.12,2.38
0.81,8.02
2.03,8.1
7.4,8.67
7.28,9.3
4.41,9.21
3.67,5.46
4.13,7.31
5.31,5.72
8.08,6.68
0.23,6.18
0.39,7.24
5.69,8.89
1.27,7.73
5.33,9.21
9.62,8.2
8.61,0.45
5.8,1.23
6.31,2.31
7.27,1.48
9.0,9.55
2.65,9.08
0.54,8.78
1.97,7.61
4.49,2.35
3.11,8.86
9.45,6.01
0.44,5.86
7.03,7.32
6.59,4.56
0.54,4.06
4.05,0.13
5.83,8.23
1.6,1.3
0.77,5.34
5.12,5.54
5.68,9.98
1.0,9.45
6.76,5.67
4.06,4.08
9.02,4.61
9.28,9.58
3.9,0.22
1.15,1.07
6.17,1.54
9.88,9.97
6.75,6.57
7.7,9.14
4.18,4.77
6.18,4.28
0.02,4.29
5.31,5.6
9.94,1.07
3.96,8.6
9.21,6.91
8.47,3.14
0.38,9.25
2.53,2.02
1.45,1.34
