Column_A,Column_B
1.39,3.91
6.56,2.01
2.13,0.64
6.87,4.14
0.18,0.63
8.85,8.38
5.1,0.27
1.59,8.17
3.23,6.33
5.56,7.2
2.4,8.15
1.55,0.55
8.56,1.46
8.35,4.04
7.73,5.26
3.3,2.19
6.18,6.59
8.35,4.55
8.43,1.39
9.18,3.99
6.6,0.59
9.92,7.28
0.11,8.68
1.5,6.29
6.23,8.83
2.43,6.58
4.49,6.37
1.96,6.86
2.99,1.26
7.83,6.0
0.49,2.66
9.41,9.05
2.8,1.74
3.98,8.84
1.27,9.17
7.17,1.12
4.62,7.14
5.8,6.79
0.11,7.23
7.35,2.77
4.13,3.77
9.84,1.95
7.26,2.2
9.41,0.64
3.1,6.31
4.96,7.83
1.59,8.19
6.83,0.34
3.3,5.04
2.1,6.82
9.0,3.33
4.49,2.34
6.19,5.85
0.85,5.24
5.84,3.13
4.78,6.04
2.8,9.1
4.23,6.92
8.53,4.46
6.11,0.49
7.92,9.86
7.48,1.76
7.52,8.35
4.34,2.15
9.77,7.44
4.35,6.8
5.68,1.21
2.64,8.16
3.86,2.68
3.89,2.68
3.57,7.84
2.22,1.02
8.56,6.15
9.11,0.41
2.77,5.39
0.6,7.81
3.91,5.55
8.79,6.46
7.2,8.64
1.41,8.13
9.59,3.64
9.62,2.5
8.56,1.69
6.7,5.79
1.38,2.27
6.47,2.61
7.53,9.22
5.38,8.98
4.05,8.28
3.52,9.07
6.43,5.11
7.48,9.74
4.67,5.2
5.97,2.87
8.4,6.13
3.84,3.72
1.95,2.85
1.09,8.19
9.08,4.03
1.54,8.99
1.08,4.57
9.52,7.9
3.26,6.75
6.27,5.94
6.11,9.15
7.29,9.89
8.42,6.99
8.22,1.3
5.48,1.47
6.35,2.1
6.71,0.13
6.93,7.64
4.53,7.34
0.99,9.97
3.58,6.22
0.31,3.36
2.11,1.01
3.54,2.26
2.52,3.03
3.73,1.62
6.07,4.17
3.65,0.82
9.36,0.35
6.88,2.45
2.85,0.03
1.89,0.65
1.12,0.51
2.1,1.58
7.97,8.0
3.67,8.07
7.86,0.12
9.06,5.97
2.25,3.72
5.76,3.2
6.87,1.69
9.36,4.15
8.97,1.16
9.17,8.07
0.29,9.37
7.72,9.4
4.76,5.7
4.92,4.22
0.23,2.29
6.84,8.07
2.22,2.81
6.21,4.04
9.14,9.77
1.91,6.89
1.69,0.17
5.36,0.45
1.32,7.35
8.92,3.02
2.67,8.61
9.78,2.85
4.65,7.42
2.95,5.67
0.95,9.61
8.62,1.32
5.79,8.66
8.0,1.82
9.18,1.89
4.3,7.4
2.93,0.77
0.77,2.57
